,Team,Away Goals,Home Goals,Total Goals,Yellow Cards Home,Yellow Cards Away,Total Yellow Cards,Red Cards Home,Red Cards Away,Total Red Cards,Total Cards,Home Wins,Away Wins,Home Draw,Home Losses,Away Losses,Away Draw,H/A
0,Man City,38,57,95,17,27,44,0,1,1,45,18,0,0,1,0,0,Home
1,Liverpool,34,55,89,13,24,37,1,1,2,39,17,0,2,0,0,0,Home
2,Tottenham,33,34,67,20,36,56,0,3,3,59,12,0,2,5,0,0,Home
3,Crystal Palace,32,19,51,25,33,58,1,1,2,60,5,0,5,9,0,0,Home
4,Man United,32,33,65,32,41,73,1,3,4,77,10,0,6,3,0,0,Home
5,Arsenal,31,42,73,40,32,72,0,2,2,74,14,0,3,2,0,0,Home
6,Leicester,27,24,51,33,24,57,2,3,5,62,8,0,3,8,0,0,Home
7,Bournemouth,26,30,56,36,24,60,1,0,1,61,8,0,5,6,0,0,Home
8,Watford,26,26,52,38,39,77,3,1,4,81,8,0,3,8,0,0,Home
9,Everton,24,30,54,24,31,55,0,4,4,59,10,0,4,5,0,0,Home
10,Chelsea,24,39,63,20,29,49,0,0,0,49,12,0,6,1,0,0,Home
11,Burnley,21,24,45,33,42,75,0,1,1,76,7,0,2,10,0,0,Home
12,West Ham,20,32,52,28,31,59,0,1,1,60,9,0,4,6,0,0,Home
13,Wolves,19,28,47,33,39,72,0,1,1,73,10,0,4,5,0,0,Home
14,Newcastle,18,24,42,25,32,57,1,1,2,59,8,0,1,10,0,0,Home
15,Southampton,18,27,45,39,32,71,2,1,3,74,5,0,8,6,0,0,Home
16,Brighton,16,19,35,30,30,60,2,2,4,64,6,0,5,8,0,0,Home
17,Cardiff,13,21,34,33,32,65,0,1,1,66,6,0,2,11,0,0,Home
18,Fulham,12,22,34,34,34,68,1,1,2,70,6,0,3,10,0,0,Home
19,Huddersfield,12,10,22,27,28,55,3,1,4,59,2,0,3,14,0,0,Home
20,Man City,38,57,95,17,27,44,0,1,1,45,0,14,0,0,3,2,Away
21,Liverpool,34,55,89,13,24,37,1,1,2,39,0,13,0,0,1,5,Away
22,Tottenham,33,34,67,20,36,56,0,3,3,59,0,11,0,0,8,0,Away
23,Crystal Palace,32,19,51,25,33,58,1,1,2,60,0,9,0,0,8,2,Away
24,Man United,32,33,65,32,41,73,1,3,4,77,0,9,0,0,7,3,Away
25,Arsenal,31,42,73,40,32,72,0,2,2,74,0,7,0,0,8,4,Away
26,Leicester,27,24,51,33,24,57,2,3,5,62,0,7,0,0,8,4,Away
27,Bournemouth,26,30,56,36,24,60,1,0,1,61,0,5,0,0,13,1,Away
28,Watford,26,26,52,38,39,77,3,1,4,81,0,6,0,0,8,5,Away
29,Everton,24,30,54,24,31,55,0,4,4,59,0,5,0,0,9,5,Away
30,Chelsea,24,39,63,20,29,49,0,0,0,49,0,9,0,0,7,3,Away
31,Burnley,21,24,45,33,42,75,0,1,1,76,0,4,0,0,10,5,Away
32,West Ham,20,32,52,28,31,59,0,1,1,60,0,6,0,0,10,3,Away
33,Wolves,19,28,47,33,39,72,0,1,1,73,0,6,0,0,8,5,Away
34,Newcastle,18,24,42,25,32,57,1,1,2,59,0,4,0,0,7,8,Away
35,Southampton,18,27,45,39,32,71,2,1,3,74,0,4,0,0,11,4,Away
36,Brighton,16,19,35,30,30,60,2,2,4,64,0,3,0,0,12,4,Away
37,Cardiff,13,21,34,33,32,65,0,1,1,66,0,4,0,0,13,2,Away
38,Fulham,12,22,34,34,34,68,1,1,2,70,0,1,0,0,16,2,Away
39,Huddersfield,12,10,22,27,28,55,3,1,4,59,0,1,0,0,14,4,Away
