,Team,Away Goals,Home Goals,Yellow Cards Home,Yellow Cards Away,Red Cards Home,Red Cards Away,H/A,Home Wins,Away Wins,Home Draw,Away Draw,Home Losses,Away Losses,,,,
0,Man City,0,57,17,0,0,0,Home,18,0,0,0,1,0,,,,
1,Liverpool,0,55,13,0,1,0,Home,17,0,2,0,0,0,,,,
2,Tottenham,0,34,20,0,0,0,Home,12,0,2,0,5,0,,,,
3,Crystal Palace,0,19,25,0,1,0,Home,5,0,5,0,9,0,,,,
4,Man United,0,33,32,0,1,0,Home,10,0,6,0,3,0,,,,
5,Arsenal,0,42,40,0,0,0,Home,14,0,3,0,2,0,,,,
6,Leicester,0,24,33,0,2,0,Home,8,0,3,0,8,0,,,,
7,Bournemouth,0,30,36,0,1,0,Home,8,0,5,0,6,0,,,,
8,Watford,0,26,38,0,3,0,Home,8,0,3,0,8,0,,,,
9,Everton,0,30,24,0,0,0,Home,10,0,4,0,5,0,,,,
10,Chelsea,0,39,20,0,0,0,Home,12,0,6,0,1,0,,,,
11,Burnley,0,24,33,0,0,0,Home,7,0,2,0,10,0,,,,
12,West Ham,0,32,28,0,0,0,Home,9,0,4,0,6,0,,,,
13,Wolves,0,28,33,0,0,0,Home,10,0,4,0,5,0,,,,
14,Newcastle,0,24,25,0,1,0,Home,8,0,1,0,10,0,,,,
15,Southampton,0,27,39,0,2,0,Home,5,0,8,0,6,0,,,,
16,Brighton,0,19,30,0,2,0,Home,6,0,5,0,8,0,,,,
17,Cardiff,0,21,33,0,0,0,Home,6,0,2,0,11,0,,,,
18,Fulham,0,22,34,0,1,0,Home,6,0,3,0,10,0,,,,
19,Huddersfield,0,10,27,0,3,0,Home,2,0,3,0,14,0,,,,
20,Man City,38,0,0,27,0,1,Away,0,14,0,2,0,1,,,,
21,Liverpool,34,0,0,24,0,1,Away,0,13,0,5,0,8,,,,
22,Tottenham,33,0,0,36,0,3,Away,0,11,0,0,0,8,,,,
23,Crystal Palace,32,0,0,33,0,1,Away,0,9,0,2,0,7,,,,
24,Man United,32,0,0,41,0,3,Away,0,9,0,3,0,8,,,,
25,Arsenal,31,0,0,32,0,2,Away,0,7,0,4,0,8,,,,
26,Leicester,27,0,0,24,0,3,Away,0,7,0,4,0,13,,,,
27,Bournemouth,26,0,0,24,0,0,Away,0,5,0,1,0,8,,,,
28,Watford,26,0,0,39,0,1,Away,0,6,0,5,0,9,,,,
29,Everton,24,0,0,31,0,4,Away,0,5,0,5,0,7,,,,
30,Chelsea,24,0,0,29,0,0,Away,0,9,0,3,0,10,,,,
31,Burnley,21,0,0,42,0,1,Away,0,4,0,5,0,10,,,,
32,West Ham,20,0,0,31,0,1,Away,0,6,0,3,0,8,,,,
33,Wolves,19,0,0,39,0,1,Away,0,6,0,5,0,7,,,,
34,Newcastle,18,0,0,32,0,1,Away,0,4,0,8,0,11,,,,
35,Southampton,18,0,0,32,0,1,Away,0,4,0,4,0,12,,,,
36,Brighton,16,0,0,30,0,2,Away,0,3,0,4,0,13,,,,
37,Cardiff,13,0,0,32,0,1,Away,0,4,0,2,0,16,,,,
38,Fulham,12,0,0,34,0,1,Away,0,1,0,2,0,14,,,,
39,Huddersfield,12,0,0,28,0,1,Away,0,1,0,4,0,19,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
